"","sp","time","value"
"287","Cod",1980,337054527865.205
"288","Saithe",1980,1.319e+11
"289","Sprat",1981,3.14255e+11
"290","Sandeel",1981,NA
"291","N.pout",1981,NA
"292","Herring",1981,1.74879e+11
"293","Dab",1981,8.454e+09
"294","Whiting",1981,NA
"295","Sole",1981,1.54e+10
"296","Gurnard",1981,0
"297","Plaice",1981,1.728e+11
"298","Haddock",1981,2.1324e+11
"299","Cod",1981,360410882544.538
"300","Saithe",1981,1.323e+11
"301","Sprat",1982,2.98028e+11
"302","Sandeel",1982,NA
"303","N.pout",1982,NA
"304","Herring",1982,2.75079e+11
"305","Dab",1982,9.565e+09
"306","Whiting",1982,NA
"307","Sole",1982,2.16e+10
"308","Gurnard",1982,3.74e+08
"309","Plaice",1982,2.037e+11
"310","Haddock",1982,2.33283e+11
"311","Cod",1982,331704569220.483
"312","Saithe",1982,1.744e+11
"313","Sprat",1983,1.978e+11
"314","Sandeel",1983,5.29659e+11
"315","N.pout",1983,4.576e+11
"316","Herring",1983,3.87202e+11
"317","Dab",1983,1.1865e+10
"318","Whiting",1983,NA
"319","Sole",1983,2.49e+10
"320","Gurnard",1983,1.103e+09
"321","Plaice",1983,2.185e+11
"322","Haddock",1983,2.44212e+11
"323","Cod",1983,278730320455.099
"324","Saithe",1983,1.8e+11
"325","Sprat",1984,1.32658e+11
"326","Sandeel",1984,6.5429e+11
"327","N.pout",1984,3.9301e+11
"328","Herring",1984,4.28631e+11
"329","Dab",1984,5.482e+09
"330","Whiting",1984,NA
"331","Sole",1984,2.68e+10
"332","Gurnard",1984,4.051e+09
"333","Plaice",1984,2.27e+11
"334","Haddock",1984,2.18946e+11
"335","Cod",1984,243531116051.525
"336","Saithe",1984,2.008e+11
"337","Sprat",1985,6.0631e+10
"338","Sandeel",1985,5.79842e+11
"339","N.pout",1985,2.051e+11
"340","Herring",1985,6.1378e+11
"341","Dab",1985,5.502e+09
"342","Whiting",1985,NA
"343","Sole",1985,2.42e+10
"344","Gurnard",1985,2.528e+09
"345","Plaice",1985,2.204e+11
"346","Haddock",1985,2.55366e+11
"347","Cod",1985,223462747211.484
"348","Saithe",1985,2.209e+11
"349","Sprat",1986,5.3854e+10
"350","Sandeel",1986,8.96222e+11
"351","N.pout",1986,1.743e+11
"352","Herring",1986,6.71488e+11
"353","Dab",1986,3.205e+09
"354","Whiting",1986,NA
"355","Sole",1986,1.82e+10
"356","Gurnard",1986,3.74e+08
"357","Plaice",1986,2.953e+11
"358","Haddock",1986,2.23081e+11
"359","Cod",1986,204843182096.029
"360","Saithe",1986,1.986e+11
"361","Sprat",1987,7.8056e+10
"362","Sandeel",1987,8.14863e+11
"363","N.pout",1987,1.493e+11
"364","Herring",1987,7.92058e+11
"365","Dab",1987,3.931e+09
"366","Whiting",1987,NA
"367","Sole",1987,1.74e+10
"368","Gurnard",1987,4.6704e+10
"369","Plaice",1987,3.442e+11
"370","Haddock",1987,1.73852e+11
"371","Cod",1987,245241814322.488
"372","Saithe",1987,1.675e+11
"373","Sprat",1988,9.2995e+10
"374","Sandeel",1988,9.09734e+11
"375","N.pout",1988,1.093e+11
"376","Herring",1988,8.87686e+11
"377","Dab",1988,7.067e+09
"378","Whiting",1988,NA
"379","Sole",1988,2.16e+10
"380","Gurnard",1988,3.8316e+10
"381","Plaice",1988,3.109e+11
"382","Haddock",1988,1.73124e+11
"383","Cod",1988,197402486074.903
"384","Saithe",1988,1.352e+11
"385","Sprat",1989,5.0269e+10
"386","Sandeel",1989,1.037291e+12
"387","N.pout",1989,1.664e+11
"388","Herring",1989,7.87899e+11
"389","Dab",1989,5.816e+09
"390","Whiting",1989,NA
"391","Sole",1989,2.18e+10
"392","Gurnard",1989,2.6839e+10
"393","Plaice",1989,2.776e+11
"394","Haddock",1989,1.06526e+11
"395","Cod",1989,167209032449.372
"396","Saithe",1989,1.089e+11
"397","Sprat",1990,5.0688e+10
"398","Sandeel",1990,6.0314e+11
"399","N.pout",1990,1.633e+11
"400","Herring",1990,6.45229e+11
"401","Dab",1990,2.701e+09
"402","Whiting",1990,4.8993e+10
"403","Sole",1990,3.51e+10
"404","Gurnard",1990,2.2168e+10
"405","Plaice",1990,2.275e+11
"406","Haddock",1990,8.8934e+10
"407","Cod",1990,135131005771.991
"408","Saithe",1990,1.038e+11
"409","Sprat",1991,9.1753e+10
"410","Sandeel",1991,8.22996e+11
"411","N.pout",1991,1.866e+11
"412","Herring",1991,6.58008e+11
"413","Dab",1991,3.448e+09
"414","Whiting",1991,5.6154e+10
"415","Sole",1991,3.35e+10
"416","Gurnard",1991,1.4612e+10
"417","Plaice",1991,2.289e+11
"418","Haddock",1991,9.3287e+10
"419","Cod",1991,119133500949.363
"420","Saithe",1991,1.08e+11
"421","Sprat",1992,7.153e+10
"422","Sandeel",1992,8.29823e+11
"423","N.pout",1992,2.968e+11
"424","Herring",1992,7.16799e+11
"425","Dab",1992,2.647e+09
"426","Whiting",1992,5.5041e+10
"427","Sole",1992,2.93e+10
"428","Gurnard",1992,8.242e+09
"429","Plaice",1992,1.822e+11
"430","Haddock",1992,1.3165e+11
"431","Cod",1992,133786429798.918
"432","Saithe",1992,9.97e+10
"433","Sprat",1993,1.26402e+11
"434","Sandeel",1993,4.47688e+11
"435","N.pout",1993,1.831e+11
"436","Herring",1993,6.71397e+11
"437","Dab",1993,3.309e+09
"438","Whiting",1993,5.4794e+10
"439","Sole",1993,3.15e+10
"440","Gurnard",1993,9.79e+08
"441","Plaice",1993,1.521e+11
"442","Haddock",1993,1.72551e+11
"443","Cod",1993,147561453220.738
"444","Saithe",1993,1.115e+11
"445","Sprat",1994,1.84195e+11
"446","Sandeel",1994,7.04313e+11
"447","N.pout",1994,1.82e+11
"448","Herring",1994,5.68234e+11
"449","Dab",1994,3.861e+09
"450","Whiting",1994,5.234e+10
"451","Sole",1994,3.3e+10
"452","Gurnard",1994,1.93e+08
"453","Plaice",1994,1.342e+11
"454","Haddock",1994,1.5102e+11
"455","Cod",1994,150843778382.325
"456","Saithe",1994,1.096e+11
"457","Sprat",1995,1.90463e+11
"458","Sandeel",1995,6.89573e+11
"459","N.pout",1995,2.368e+11
"460","Herring",1995,5.79371e+11
"461","Dab",1995,3.865e+09
"462","Whiting",1995,4.9182e+10
"463","Sole",1995,3.05e+10
"464","Gurnard",1995,1.53e+08
"465","Plaice",1995,1.202e+11
"466","Haddock",1995,1.42524e+11
"467","Cod",1995,183138870641.054
"468","Saithe",1995,1.218e+11
"469","Sprat",1996,1.41608e+11
"470","Sandeel",1996,6.26111e+11
"471","N.pout",1996,1.638e+11
"472","Herring",1996,2.75098e+11
"473","Dab",1996,4.834e+09
"474","Whiting",1996,4.3869e+10
"475","Sole",1996,2.27e+10
"476","Gurnard",1996,2.32e+08
"477","Plaice",1996,1.337e+11
"478","Haddock",1996,1.56609e+11
"479","Cod",1996,161943048510.311
"480","Saithe",1996,1.15e+11
"481","Sprat",1997,1.22547e+11
"482","Sandeel",1997,1.138693e+12
"483","N.pout",1997,1.697e+11
"484","Herring",1997,2.64313e+11
"485","Dab",1997,5.259e+09
"486","Whiting",1997,3.8558e+10
"487","Sole",1997,1.49e+10
"488","Gurnard",1997,1.51e+08
"489","Plaice",1997,1.832e+11
"490","Haddock",1997,1.41347e+11
"491","Cod",1997,165049383162.868
"492","Saithe",1997,1.073e+11
"493","Sprat",1998,1.75398e+11
"494","Sandeel",1998,9.39403e+11
"495","N.pout",1998,5.77e+10
"496","Herring",1998,3.91628e+11
"497","Dab",1998,1.2759e+10
"498","Whiting",1998,3.1505e+10
"499","Sole",1998,2.09e+10
"500","Gurnard",1998,7.5e+07
"501","Plaice",1998,1.753e+11
"502","Haddock",1998,1.31316e+11
"503","Cod",1998,139525128969.068
"504","Saithe",1998,1.061e+11
"505","Sprat",1999,1.81816e+11
"506","Sandeel",1999,6.82959e+11
"507","N.pout",1999,9.45e+10
"508","Herring",1999,3.63163e+11
"509","Dab",1999,1.3276e+10
"510","Whiting",1999,3.3701e+10
"511","Sole",1999,2.35e+10
"512","Gurnard",1999,2.25e+08
"513","Plaice",1999,1.516e+11
"514","Haddock",1999,1.12021e+11
"515","Cod",1999,98321696600.9695
"516","Saithe",1999,1.107e+11
"517","Sprat",2000,2.0728e+11
"518","Sandeel",2000,5.79481e+11
"519","N.pout",2000,1.844e+11
"520","Herring",2000,3.88157e+11
"521","Dab",2000,1.0595e+10
"522","Whiting",2000,3.2709e+10
"523","Sole",2000,2.26e+10
"524","Gurnard",2000,5.48e+08
"525","Plaice",2000,1.255e+11
"526","Haddock",2000,1.04457e+11
"527","Cod",2000,101113608469.43
"528","Saithe",2000,9.13e+10
"529","Sprat",2001,1.84176e+11
"530","Sandeel",2001,8.15292e+11
"531","N.pout",2001,6.56e+10
"532","Herring",2001,3.74065e+11
"533","Dab",2001,9.799e+09
"534","Whiting",2001,2.817e+10
"535","Sole",2001,1.99e+10
"536","Gurnard",2001,6.11e+08
"537","Plaice",2001,1.823e+11
"538","Haddock",2001,1.6696e+11
"539","Cod",2001,90853173098.4725
"540","Saithe",2001,9.5e+10
"541","Sprat",2002,1.67259e+11
"542","Sandeel",2002,8.40845e+11
"543","N.pout",2002,8e+10
"544","Herring",2002,3.94709e+11
"545","Dab",2002,8.678e+09
"546","Whiting",2002,2.2026e+10
"547","Sole",2002,1.69e+10
"548","Gurnard",2002,3.93e+08
"549","Plaice",2002,1.246e+11
"550","Haddock",2002,1.07923e+11
"551","Cod",2002,88965150089.3362
"552","Saithe",2002,1.154e+11
"553","Sprat",2003,2.00665e+11
"554","Sandeel",2003,2.36729e+11
"555","N.pout",2003,2.71e+10
"556","Herring",2003,4.82281e+11
"557","Dab",2003,9.008e+09
"558","Whiting",2003,1.6765e+10
"559","Sole",2003,1.79e+10
"560","Gurnard",2003,4.2e+08
"561","Plaice",2003,1.443e+11
"562","Haddock",2003,6.6805e+10
"563","Cod",2003,61574308948.3463
"564","Saithe",2003,1.056e+11
"565","Sprat",2004,2.07784e+11
"566","Sandeel",2004,3.45921e+11
"567","N.pout",2004,1.35e+10
"568","Herring",2004,5.87698e+11
"569","Dab",2004,8.608e+09
"570","Whiting",2004,1.4208e+10
"571","Sole",2004,1.88e+10
"572","Gurnard",2004,3.76e+08
"573","Plaice",2004,1.159e+11
"574","Haddock",2004,6.4839e+10
"575","Cod",2004,49020801136.3818
"576","Saithe",2004,1.042e+11
"577","Sprat",2005,2.41769e+11
"578","Sandeel",2005,1.71932e+11
"579","N.pout",2005,1.9e+09
"580","Herring",2005,6.63813e+11
"581","Dab",2005,9.402e+09
"582","Whiting",2005,1.769e+10
"583","Sole",2005,1.64e+10
